event_id,round,Key_Event_Rd,round_dates
1,1,E1R1,2001-01-04
1,2,E1R2,2001-01-05
1,3,E1R3,2001-01-06
1,4,E1R4,2001-01-07
2,1,E2R1,2001-01-11
2,2,E2R2,2001-01-12
2,3,E2R3,2001-01-13
2,4,E2R4,2001-01-14
3,1,E3R1,2001-01-11
3,2,E3R2,2001-01-12
3,3,E3R3,2001-01-13
3,4,E3R4,2001-01-14
4,1,E4R1,2001-01-18
4,2,E4R2,2001-01-19
4,3,E4R3,2001-01-20
4,4,E4R4,2001-01-21
5,1,E5R1,2001-01-25
5,2,E5R2,2001-01-26
5,3,E5R3,2001-01-27
5,4,E5R4,2001-01-28
6,1,E6R1,2001-02-01
6,2,E6R2,2001-02-02
6,3,E6R3,2001-02-03
6,4,E6R4,2001-02-04
7,1,E7R1,2001-02-08
7,2,E7R2,2001-02-09
7,3,E7R3,2001-02-10
7,4,E7R4,2001-02-11
8,1,E8R1,2001-02-14
8,2,E8R2,2001-02-15
8,3,E8R3,2001-02-16
8,4,E8R4,2001-02-17
8,5,E8R5,2001-02-18
9,1,E9R1,2001-02-22
9,2,E9R2,2001-02-23
9,3,E9R3,2001-02-24
9,4,E9R4,2001-02-25
10,1,E10R1,2001-03-01
10,2,E10R2,2001-03-02
10,3,E10R3,2001-03-03
10,4,E10R4,2001-03-04
11,1,E11R1,2001-03-08
11,2,E11R2,2001-03-09
11,3,E11R3,2001-03-10
11,4,E11R4,2001-03-11
12,1,E12R1,2001-03-15
12,2,E12R2,2001-03-16
12,3,E12R3,2001-03-17
12,4,E12R4,2001-03-18
13,1,E13R1,2001-03-22
13,2,E13R2,2001-03-23
13,3,E13R3,2001-03-24
13,4,E13R4,2001-03-25
14,1,E14R1,2001-03-29
14,2,E14R2,2001-03-30
14,3,E14R3,2001-03-31
14,4,E14R4,2001-04-01
15,1,E15R1,2001-04-05
15,2,E15R2,2001-04-06
15,3,E15R3,2001-04-07
15,4,E15R4,2001-04-08
16,1,E16R1,2001-04-12
16,2,E16R2,2001-04-13
16,3,E16R3,2001-04-14
16,4,E16R4,2001-04-15
17,1,E17R1,2001-04-19
17,2,E17R2,2001-04-20
17,3,E17R3,2001-04-21
17,4,E17R4,2001-04-22
18,1,E18R1,2001-04-26
18,2,E18R2,2001-04-27
18,3,E18R3,2001-04-28
18,4,E18R4,2001-04-29
19,1,E19R1,2001-05-03
19,2,E19R2,2001-05-04
19,3,E19R3,2001-05-05
19,4,E19R4,2001-05-06
20,1,E20R1,2001-05-10
20,2,E20R2,2001-05-11
20,3,E20R3,2001-05-12
20,4,E20R4,2001-05-13
21,1,E21R1,2001-05-17
21,2,E21R2,2001-05-18
21,3,E21R3,2001-05-19
21,4,E21R4,2001-05-20
22,1,E22R1,2001-05-24
22,2,E22R2,2001-05-25
22,3,E22R3,2001-05-26
22,4,E22R4,2001-05-27
23,1,E23R1,2001-05-31
23,2,E23R2,2001-06-01
23,3,E23R3,2001-06-02
23,4,E23R4,2001-06-03
24,1,E24R1,2001-06-07
24,2,E24R2,2001-06-08
24,3,E24R3,2001-06-09
24,4,E24R4,2001-06-10
25,1,E25R1,2001-06-14
25,2,E25R2,2001-06-15
25,3,E25R3,2001-06-16
25,4,E25R4,2001-06-17
26,1,E26R1,2001-06-21
