event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date,is_major,latitude,longitude
1,WGC-Accenture Match Play Championship,"January 4 - 7, 2001",5000000.0,,,,,2001-01-04,2001-01-07,0.0,,
2,Mercedes Championships,"January 11 - 14, 2001",3500000.0,"Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2001-01-11,2001-01-14,0.0,20.99490395,-156.6562339558182
3,Touchstone Energy Tucson Open,"January 11 - 14, 2001",3000000.0,"Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2001-01-11,2001-01-14,0.0,32.2228765,-110.974847
4,Sony Open in Hawaii,"January 18 - 21, 2001",4000000.0,"Honolulu, HI",7044.0,70.0,Waialae Country Club,2001-01-18,2001-01-21,0.0,21.304547,-157.855676
5,Phoenix Open,"January 25 - 28, 2001",4000000.0,"Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2001-01-25,2001-01-28,0.0,33.4942189,-111.926018
6,AT&T Pebble Beach National Pro-Am,"February 1 - 4, 2001",4000000.0,,6822.0,72.0,,2001-02-01,2001-02-04,0.0,,
7,Buick Invitational,"February 8 - 11, 2001",3500000.0,,,,,2001-02-08,2001-02-11,0.0,,
8,Bob Hope Chrysler Classic,"February 14 - 18, 2001",3500000.0,,6997.0,71.0,,2001-02-14,2001-02-18,0.0,,
9,Nissan Open,"February 22 - 25, 2001",3400000.0,"Pacific Palisades, CA",,72.0,Riviera Country Club,2001-02-22,2001-02-25,0.0,34.0480643,-118.5264706
10,Genuity Championship,"March 1 - 4, 2001",4500000.0,"Doral, FL",,72.0,Trump National Doral Golf Course,2001-03-01,2001-03-04,0.0,25.8195424,-80.3553302
11,Honda Classic,"March 8 - 11, 2001",3200000.0,,,72.0,,2001-03-08,2001-03-11,0.0,,
12,Bay Hill Invitational,"March 15 - 18, 2001",3500000.0,"Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2001-03-15,2001-03-18,0.0,28.5421109,-81.3790304
13,THE PLAYERS Championship,"March 22 - 25, 2001",6000000.0,"Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2001-03-22,2001-03-25,0.0,30.2274645,-81.3800824
14,BellSouth Classic,"Mar 29 - April 1, 2001",3300000.0,"Duluth, GA",7311.0,72.0,TPC Sugarloaf,2001-03-29,2001-04-01,0.0,34.0028569,-84.1441046
15,The Masters,"April 5 - 8, 2001",5600000.0,"Augusta, GA",,72.0,Augusta National Golf Club,2001-04-05,2001-04-08,1.0,33.4709714,-81.9748429
16,WORLDCOM CLASSIC - The Heritage of Golf,"April 12 - 15, 2001",3500000.0,"Hilton Head Island, SC",,,Harbour Town Golf Links,2001-04-12,2001-04-15,0.0,32.1618488,-80.7512616
17,Shell Houston Open,"April 19 - 22, 2001",3400000.0,,,72.0,,2001-04-19,2001-04-22,0.0,,
18,Greater Greensboro Chrysler Classic,"April 26 - 29, 2001",3500000.0,"Greensboro, NC",7311.0,72.0,Forest Oaks,2001-04-26,2001-04-29,0.0,36.0726355,-79.7919754
19,Compaq Classic of New Orleans,"May 3 - 6, 2001",4000000.0,"New Orleans, LA",7078.0,72.0,English Turn,2001-05-03,2001-05-06,0.0,29.9759983,-90.0782127
20,Verizon Byron Nelson Classic,"May 10 - 13, 2001",4500000.0,,6847.0,70.0,,2001-05-10,2001-05-13,0.0,,
21,MasterCard Colonial,"May 17 - 20, 2001",4000000.0,"Fort Worth, TX",,70.0,Colonial Country Club,2001-05-17,2001-05-20,0.0,32.753177,-97.3327459
22,Kemper Insurance Open,"May 24 - 27, 2001",3500000.0,"Potomac, MD",7005.0,71.0,TPC Potomac at Avenel Farm,2001-05-24,2001-05-27,0.0,39.0180508,-77.1956331355745
23,Memorial Tournament,"May 31 - June 3, 2001",4100000.0,"Dublin, OH",,72.0,Muirfield Village Golf Club,2001-05-31,2001-06-03,0.0,40.0996009,-83.1135563
24,FedEx St. Jude Classic,"June 7 - 10, 2001",3500000.0,"Memphis, TN",,71.0,TPC Southwind,2001-06-07,2001-06-10,0.0,35.1460249,-90.0517638
25,U.S. Open,"June 14 - 17, 2001",5000000.0,,,,,2001-06-14,2001-06-17,1.0,,
26,Buick Classic,"June 21 - 24, 2001",3500000.0,"Harrison, NY",6839.0,71.0,Westchester CC,2001-06-21,2001-06-24,0.0,40.9689871,-73.71263
27,Canon Greater Hartford Open,"Jun 28 - July 1, 2001",3100000.0,"Cromwell, CT",,70.0,TPC River Highlands,2001-06-28,2001-07-01,0.0,41.5949942,-72.6455665
28,Advil Western Open,"July 5 - 8, 2001",3600000.0,"Lemont, IL",,72.0,Cog Hill G&CC,2001-07-05,2001-07-08,0.0,41.6737149,-88.0016263
29,Greater Milwaukee Open,"July 12 - 15, 2001",3100000.0,"Milwaukee, WI",,,Brown Deer Park GC,2001-07-12,2001-07-15,0.0,43.0386475,-87.9090751
30,British Open Championship,"July 19 - 22, 2001",4497864.0,,,71.0,,2001-07-19,2001-07-22,0.0,,
31,B.C. Open,"July 19 - 22, 2001",2000000.0,"Endicott, NY",6974.0,72.0,En Joie GC,2001-07-19,2001-07-22,0.0,42.098408,-76.0493684
32,John Deere Classic,"July 26 - 29, 2001",2800000.0,"Silvis, IL",,71.0,TPC Deere Run,2001-07-26,2001-07-29,0.0,41.5122561,-90.4151301
