City,base_url,is_golf_club
" Kapalua, HI",https://www.wunderground.com/history/daily/RJOA/date/2024-10-26,False
" Tucson, AZ",https://www.wunderground.com/history/daily/KTUS/date/2024-10-26,False
" Honolulu, HI",https://www.wunderground.com/history/daily/PHNL/date/2024-10-26,False
" Scottsdale, AZ",https://www.wunderground.com/history/daily/KPHX/date/2024-10-26,False
" Pacific Palisades, CA",https://www.wunderground.com/history/daily/KLAX/date/2024-10-26,False
" Doral, FL",https://www.wunderground.com/history/daily/KMIA/date/2024-10-26,False
" Orlando, FL",https://www.wunderground.com/history/daily/KMCO/date/2024-10-26,False
" Ponte Vedra Beach, FL",https://www.wunderground.com/history/daily/KSGJ/date/2024-10-26,False
" Duluth, GA",https://www.wunderground.com/history/daily/KATL/date/2024-10-26,False
" Augusta, GA",https://www.wunderground.com/history/daily/KAGS/date/2024-10-26,False
" Hilton Head Island, SC",https://www.wunderground.com/history/daily/KHXD/date/2024-10-26,False
" Greensboro, NC",https://www.wunderground.com/history/daily/KGSO/date/2024-10-26,False
" New Orleans, LA",https://www.wunderground.com/history/daily/KMSY/date/2024-10-26,False
" Fort Worth, TX",https://www.wunderground.com/history/daily/KFTW/date/2024-10-26,False
" Potomac, MD",https://www.wunderground.com/history/daily/KIAD/date/2024-10-26,False
" Dublin, OH",https://www.wunderground.com/history/daily/KCMH/date/2024-10-26,False
" Memphis, TN",https://www.wunderground.com/history/daily/KMEM/date/2024-10-26,False
" Harrison, NY",https://www.wunderground.com/history/daily/KHPN/date/2024-10-26,False
" Cromwell, CT",https://www.wunderground.com/history/daily/KBDL/date/2024-10-26,False
" Lemont, IL",https://www.wunderground.com/history/daily/KMDW/date/2024-10-26,False
" Milwaukee, WI",https://www.wunderground.com/history/daily/KMKE/date/2024-10-26,False
" Endicott, NY",https://www.wunderground.com/history/daily/KBGM/date/2024-10-26,False
" Silvis, IL",https://www.wunderground.com/history/daily/KMLI/date/2024-10-26,False
" Castle Rock, CO",https://www.wunderground.com/history/daily/KDEN/date/2024-10-26,False
" Grand Blanc, MI",https://www.wunderground.com/history/daily/KFNT/date/2024-10-26,False
" Akron, OH",https://www.wunderground.com/history/daily/KCAK/date/2024-10-26,False
" Reno, NV",https://www.wunderground.com/history/daily/KRNO/date/2024-10-26,False
" Montreal, PQ",https://www.wunderground.com/history/daily/CYUL/date/2024-10-26,False
" Palm Harbor, FL",https://www.wunderground.com/history/daily/KPIE/date/2024-10-26,False
" San Antonio, TX",https://www.wunderground.com/history/daily/KSAT/date/2024-10-26,False
" Madison, MS",https://www.wunderground.com/history/daily/KJAN/date/2024-10-26,False
" Atlanta, GA",https://www.wunderground.com/history/daily/KATL/date/2024-10-26,False
" Carlsbad, CA",https://www.wunderground.com/history/daily/KCRQ/date/2024-10-26,False
" Hamilton, ON",https://www.wunderground.com/history/daily/CYHM/date/2024-10-26,False
" Farmington, PA",https://www.wunderground.com/history/daily/KMGW/date/2024-10-26,False
" Charlotte, NC",https://www.wunderground.com/history/daily/KCLT/date/2024-10-26,False
" Norton, MA",https://www.wunderground.com/history/daily/KPVD/date/2024-10-26,False
" Edison, NJ",https://www.wunderground.com/history/daily/KEWR/date/2024-10-26,False
" Palm Beach Gardens, FL",https://www.wunderground.com/history/daily/KPBI/date/2024-10-26,False
