event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date
1,WGC-Accenture Match Play Championship,"January 4 - 7, 2001",5000000,,,,,2001-01-04,2001-01-07
2,Mercedes Championships,"January 11 - 14, 2001",3500000," Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2001-01-11,2001-01-14
3,Touchstone Energy Tucson Open,"January 11 - 14, 2001",3000000," Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2001-01-11,2001-01-14
4,Sony Open in Hawaii,"January 18 - 21, 2001",4000000," Honolulu, HI",7044.0,70.0,Waialae Country Club,2001-01-18,2001-01-21
5,Phoenix Open,"January 25 - 28, 2001",4000000," Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2001-01-25,2001-01-28
6,AT&T Pebble Beach National Pro-Am,"February 1 - 4, 2001",4000000,,6822.0,72.0,,2001-02-01,2001-02-04
7,Buick Invitational,"February 8 - 11, 2001",3500000,,,,,2001-02-08,2001-02-11
8,Bob Hope Chrysler Classic,"February 14 - 18, 2001",3500000,,6997.0,71.0,,2001-02-14,2001-02-18
9,Nissan Open,"February 22 - 25, 2001",3400000," Pacific Palisades, CA",,72.0,Riviera Country Club,2001-02-22,2001-02-25
10,Genuity Championship,"March 1 - 4, 2001",4500000," Doral, FL",,72.0,Trump National Doral Golf Course,2001-03-01,2001-03-04
11,Honda Classic,"March 8 - 11, 2001",3200000,,,72.0,,2001-03-08,2001-03-11
12,Bay Hill Invitational,"March 15 - 18, 2001",3500000," Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2001-03-15,2001-03-18
13,THE PLAYERS Championship,"March 22 - 25, 2001",6000000," Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2001-03-22,2001-03-25
14,BellSouth Classic,"Mar 29 - April 1, 2001",3300000," Duluth, GA",7311.0,72.0,TPC Sugarloaf,2001-03-29,2001-04-01
15,Masters Tournament,"April 5 - 8, 2001",5600000," Augusta, GA",,72.0,Augusta National Golf Club,2001-04-05,2001-04-08
16,WORLDCOM CLASSIC - The Heritage of Golf,"April 12 - 15, 2001",3500000," Hilton Head Island, SC",,,Harbour Town Golf Links,2001-04-12,2001-04-15
17,Shell Houston Open,"April 19 - 22, 2001",3400000,,,72.0,,2001-04-19,2001-04-22
18,Greater Greensboro Chrysler Classic,"April 26 - 29, 2001",3500000," Greensboro, NC",7311.0,72.0,Forest Oaks,2001-04-26,2001-04-29
19,Compaq Classic of New Orleans,"May 3 - 6, 2001",4000000," New Orleans, LA",7078.0,72.0,English Turn,2001-05-03,2001-05-06
20,Verizon Byron Nelson Classic,"May 10 - 13, 2001",4500000,,6847.0,70.0,,2001-05-10,2001-05-13
21,MasterCard Colonial,"May 17 - 20, 2001",4000000," Fort Worth, TX",,70.0,Colonial Country Club,2001-05-17,2001-05-20
22,Kemper Insurance Open,"May 24 - 27, 2001",3500000," Potomac, MD",7005.0,71.0,TPC Potomac at Avenel Farm,2001-05-24,2001-05-27
23,Memorial Tournament,"May 31 - June 3, 2001",4100000," Dublin, OH",,72.0,Muirfield Village Golf Club,2001-05-31,2001-06-03
24,FedEx St. Jude Classic,"June 7 - 10, 2001",3500000," Memphis, TN",,71.0,TPC Southwind,2001-06-07,2001-06-10
25,U.S. Open Championship,"June 14 - 17, 2001",5000000,,,,,2001-06-14,2001-06-17
26,Buick Classic,"June 21 - 24, 2001",3500000," Harrison, NY",6839.0,71.0,Westchester CC,2001-06-21,2001-06-24
27,Canon Greater Hartford Open,"Jun 28 - July 1, 2001",3100000," Cromwell, CT",,70.0,TPC River Highlands,2001-06-28,2001-07-01
28,Advil Western Open,"July 5 - 8, 2001",3600000," Lemont, IL",,72.0,Cog Hill G&CC,2001-07-05,2001-07-08
29,Greater Milwaukee Open,"July 12 - 15, 2001",3100000," Milwaukee, WI",,,Brown Deer Park GC,2001-07-12,2001-07-15
30,British Open Championship,"July 19 - 22, 2001",4497864,,,71.0,,2001-07-19,2001-07-22
